Step,Eval_PPL
0,2272.936767578125
100,1.1922550201416016
200,1.129638910293579
300,1.125208854675293
400,1.1236683130264282
500,1.1264718770980835
600,1.1187022924423218
700,1.120046615600586
800,1.1174495220184326
900,1.1185681819915771
1000,1.1177984476089478
1100,1.1163321733474731
1200,1.1205343008041382
1300,1.116928219795227
1400,1.117675542831421
1500,1.1147371530532837
1600,1.1159305572509766
1700,1.1166225671768188
1800,1.1189391613006592
1900,1.1173487901687622
2000,1.1170341968536377
2100,1.1156840324401855
2200,1.1182423830032349
2300,1.1161824464797974
2400,1.1160460710525513
2500,1.1143057346343994
2600,1.120000958442688
2700,1.1155561208724976
2800,1.118004322052002
2900,1.1159374713897705
3000,1.116172194480896
3100,1.119178295135498
3200,1.1184924840927124
3300,1.1143425703048706
3400,1.1152904033660889
3500,1.1140865087509155
3600,1.114425778388977
3700,1.1196677684783936
3800,1.1159831285476685
3900,1.1191470623016357
4000,1.1192305088043213
4100,1.1161099672317505
4200,1.1152675151824951
4300,1.1166205406188965
4400,1.116987943649292
4500,1.1146321296691895
4600,1.1172184944152832
4700,1.11920166015625
4800,1.1157019138336182
4900,1.1165791749954224
5000,1.115977168083191
